"","ID","gender","subject","mark1","mark2","mark3","fres"
"1",1,"M",1,17,20,15,"neg"
"2",2,"F",2,24,30,23,"pos"
"3",3,"F",1,17,16,NA,"neg"
"4",4,"M",3,27,23,21,"pos"
"5",5,"M",2,30,22,24,"pos"
"6",6,"F",1,30,21,25,"pos"
"7",7,"M",2,23,24,24,"pos"
"8",8,"F",3,17,NA,20,"neg"
"9",9,"M",1,21,24,24,"pos"
"10",10,"F",2,24,25,24,"pos"
"11",11,"F",2,24,22,25,"pos"
"12",12,"M",1,25,27,24,"pos"
"13",13,"F",2,24,24,25,"pos"
"14",14,"M",3,NA,17,15,"neg"
"15",15,"M",2,22,27,24,"pos"
"16",16,"F",1,30,24,27,"pos"
"17",17,"F",2,29,27,23,"pos"
"18",18,"M",3,29,26,22,"pos"
"19",19,"F",1,NA,17,15,"neg"



